"neighborhood","district","year","fac_culture","fac_sports","fac_health","fac_welfare","fac_schools","hou_corporation","hou_occupant","hou_other","hou_value","inc_income","inc_gini","pop_total","pop_unemployed","saf_neighbors","saf_nonneighbors","saf_catering","spa_streets","spa_green","spa_playing"
"Overhoeks","N Noord",2015,2,0,8,1,0,56,168,219,425397,60800,0.3,843,42,"2.high","2.high","2.high","2.average","2.average","2.average"
"Elzenhagen Noord","N Noord",2015,7,1,4,3,1,169,439,71,285965,50000,0.24,1974,79,"2.high","2.high","2.high","2.average","2.average","2.average"
"Venserpolder West","T Zuidoost",2015,5,0,4,23,1,2034,616,167,117875,24800,0.24,5186,797,"2.high","2.high","2.high","2.average","2.average","2.average"
"Venserpolder Oost","T Zuidoost",2015,14,0,7,11,0,1039,507,127,115717,25000,0.24,3355,487,"2.high","2.high","2.high","2.average","2.average","2.average"
"D-buurt","T Zuidoost",2015,6,0,4,8,1,203,29,861,54813,19300,0.23,1443,76,"1.low","1.low","2.high","2.average","2.average","2.average"
"F-buurt","T Zuidoost",2015,12,0,21,28,1,583,584,152,182089,34400,0.27,3831,400,"2.high","2.high","2.high","2.average","2.average","2.average"
"Rechte H-buurt","T Zuidoost",2015,5,0,6,21,0,913,257,108,117757,24400,0.24,3131,499,"1.low","1.low","2.high","2.average","3.high","2.average"
"Hakfort/Huigenbos","T Zuidoost",2015,19,0,9,10,0,1139,0,0,123767,23700,0.22,2651,444,"1.low","2.high","2.high","2.average","2.average","2.average"
"G-buurt West","T Zuidoost",2015,6,1,16,38,0,424,591,462,174331,32700,0.26,3692,398,"1.low","1.low","2.high","2.average","2.average","2.average"
"Bijlmermuseum Noord","T Zuidoost",2015,4,0,19,15,0,960,103,25,124433,22700,0.21,2265,439,"2.high","2.high","2.high","2.average","3.high","2.average"
"Kortvoort","T Zuidoost",2015,3,0,6,18,3,1185,170,20,107709,22100,0.21,2600,450,"1.low","2.high","2.high","2.average","2.average","2.average"
"K-buurt Midden","T Zuidoost",2015,5,1,10,14,0,893,0,51,131425,23900,0.24,2066,378,"2.high","2.high","2.high","2.average","2.average","2.average"
"Grunder/Koningshoef","T Zuidoost",2015,1,0,4,20,0,302,309,24,187827,35100,0.26,1776,188,"2.high","2.high","2.high","2.average","2.average","3.high"
"G-buurt Oost","T Zuidoost",2015,7,3,14,9,2,349,1186,183,153067,34900,0.27,3122,216,"2.high","2.high","2.high","3.high","3.high","2.average"
"Kantershof","T Zuidoost",2015,1,2,6,12,2,396,521,139,138085,28800,0.25,2199,233,"2.high","2.high","2.high","2.average","2.average","2.average"
"G-buurt Noord","T Zuidoost",2015,1,0,0,13,0,943,0,0,96021,20200,0.19,1834,479,"2.high","2.high","2.high","2.average","2.average","1.low"
"Bijlmermuseum Zuid","T Zuidoost",2015,1,0,1,18,0,796,101,179,120533,23300,0.21,2353,440,"2.high","2.high","2.high","1.low","2.average","2.average"
"L-buurt","T Zuidoost",2015,8,0,17,17,1,345,654,654,134116,33000,0.23,2935,197,"2.high","2.high","2.high","3.high","3.high","2.average"
"Holendrecht Noordwest","T Zuidoost",2015,3,1,3,24,3,1401,0,0,115895,23700,0.18,2901,498,"2.high","2.high","2.high","2.average","3.high","2.average"
"Reigersbos Noord","T Zuidoost",2015,3,0,5,37,0,1671,161,14,130368,26600,0.21,4408,692,"1.low","1.low","2.high","2.average","2.average","2.average"
"Holendrecht Oost","T Zuidoost",2015,6,0,6,11,1,332,529,207,183888,39500,0.24,2436,167,"2.high","2.high","2.high","2.average","2.average","2.average"
"Gaasperdam Noord","T Zuidoost",2015,7,1,14,14,0,604,296,53,147111,29500,0.26,2040,287,"2.high","1.low","2.high","3.high","3.high","2.average"
"Gaasperdam Zuid","T Zuidoost",2015,4,0,4,18,2,515,275,61,128017,26400,0.24,1522,190,"2.high","2.high","2.high","3.high","3.high","3.high"
"Reigersbos Midden","T Zuidoost",2015,6,0,3,8,0,760,347,37,139795,29000,0.24,2451,289,"2.high","2.high","2.high","2.average","2.average","2.average"
"Reigersbos Zuid","T Zuidoost",2015,7,1,8,14,0,525,387,180,174225,34500,0.24,2513,237,"2.high","2.high","2.high","2.average","2.average","2.average"
"Gein Noordwest","T Zuidoost",2015,3,1,7,17,2,1081,304,181,127038,25700,0.22,3085,463,"1.low","2.high","2.high","2.average","3.high","2.average"
"Gein Noordoost","T Zuidoost",2015,3,0,9,14,1,0,1225,36,204520,48200,0.22,3465,193,"2.high","2.high","2.high","2.average","2.average","2.average"
"Gein Zuidoost","T Zuidoost",2015,3,0,8,17,0,910,295,354,172071,32900,0.24,3361,367,"2.high","2.high","2.high","2.average","3.high","2.average"
"Dorp Driemond","T Zuidoost",2015,2,2,3,4,2,264,313,36,218907,42300,0.25,1449,76,"2.high","2.high","2.high","2.average","2.average","3.high"
